Sample	GSM194462-tbl-1.txt	GSM194463-tbl-1.txt	GSM194464-tbl-1.txt	GSM194465-tbl-1.txt	GSM194466-tbl-1.txt	GSM194467-tbl-1.txt	GSM194471-tbl-1.txt	GSM194472-tbl-1.txt	GSM194473-tbl-1.txt	GSM194477-tbl-1.txt	GSM194478-tbl-1.txt	GSM194479-tbl-1.txt	GSM194483-tbl-1.txt	GSM194484-tbl-1.txt	GSM194485-tbl-1.txt	GSM194525-tbl-1.txt	GSM194526-tbl-1.txt	GSM194527-tbl-1.txt	GSM194540-tbl-1.txt	GSM194541-tbl-1.txt	GSM194542-tbl-1.txt	GSM194519-tbl-1.txt	GSM194520-tbl-1.txt	GSM194521-tbl-1.txt	GSM194534-tbl-1.txt	GSM194535-tbl-1.txt	GSM194536-tbl-1.txt	GSM194504-tbl-1.txt	GSM194505-tbl-1.txt	GSM194506-tbl-1.txt
152511	1448.883021	1278.923333	1130.788438	1974.460208	7845.424688	490.8933333	2281.049792	2883.868438	2726.711563	494.4442708	1329.535625	828.4092708	1761.216875	1251.630938	1831.367188	3833.934271	4145.434688	3171.796875	2259.919479	2414.251875	768.6540625	1096.474427	1010.202708	1207.441458	1740.070104	1963.332396	1207.234688	800.8821875	821.836875	1812.561667
104641	498.8545833	1165.729583	1048.379063	765.9788542	742.2296875	746.4475	658.2739583	782.8155208	920.1763542	2312.151458	1319.989896	1185.345521	686.52	366.6122917	968.5416667	397.6945833	1486.098229	1174.255313	1259.383021	749.8611458	1720.031354	486.5453125	420.6059375	603.2229167	1092.005104	680.885625	802.1585417	2074.739063	1387.311354	1721.640833
214773	76753.45896	86979.78708	99231.08208	294866.5485	297528.4126	287406.7945	227101.4922	216500.2935	232812.5363	72317.75865	64273.71635	66412.89833	216741.151	234587.8945	189750.0266	58990.76073	55507.54948	63958.01573	5837.305417	7244.470938	6688.926354	257245.0258	261014.9872	236300.1611	45546.93927	46480.22458	44188.67771	267579.5783	276820.6172	258316.5679
198663	292.5815625	447.2386458	332.8303125	189.205625	334.4478125	234.5057292	312.7101042	202.0215625	385.0819792	525.4479167	361.273125	290.3067708	858.548125	539.8453125	1046.514583	597.2254167	153.39625	670.2276042	281.7160417	645.9060417	308.2738542	248.8982292	307.0933854	321.4170833	292.2004167	365.9955729	413.7951042	385.5702083	242.289375	262.2014583
176882	763.5120833	380.9534375	355.0709375	667.6477083	503.9601563	310.9909375	306.5940625	336.0210417	407.2892708	751.0917708	1284.384271	307.0742708	1167.466146	1551.911146	1001.442708	441.0630208	472.5057292	298.6248958	308.0038542	413.3060417	516.8446875	566.4653125	419.5828125	589.1133333	235.5040625	616.9742708	1647.418229	506.2582292	268.5282292	463.515
110453	392.1758333	2104.700208	395.0780208	422.2465625	175.8977083	364.8278125	528.1180208	318.6448958	234.2340625	581.935	380.0060417	784.5064583	377.7971875	294.9197396	387.7528125	828.8309375	644.7061458	2363.181875	580.6682292	988.8545833	1200.068333	398.0353125	284.7396875	272.9989583	930.7184375	864.3764583	373.7173958	784.6786458	577.0682292	815.2346875
197127	109374.2673	117950.0942	128094.559	14954.55792	16514.70094	16054.39188	18751.42677	17540.67708	18868.67177	17416.91656	17238.75719	17452.5374	32231.21844	33743.08604	32323.75083	136825.232	122859.5049	140389.6764	73184.49938	78540.3	80063.1774	23217.24885	23820.24979	22228.16719	24972.19208	21516.79656	26222.88719	8583.302396	9086.825938	9668.187083
108167	3816.795104	3285.986667	2755.044167	944385.7814	1073344.552	866559.7425	3112.863229	3345.176146	3057.280938	371.5360938	224.3744792	214.5091667	252.1591667	357.4695833	295.1346875	268.4495833	451.8861979	750.9820833	4331.701875	5274.705208	5774.463229	861.9277083	2120.23875	1052.729583	387.5208333	1898.075729	2482.164479	450.1952083	768.535625	447.449375
181258	996.43	1800.999688	1653.789896	9062.7475	9859.764167	9825.109271	625.7646875	735.3078125	319.1139583	350.4309896	117.4289583	515.5975	290.0288542	346.1171354	411.8678125	2697.913542	3393.176458	4201.467083	4823.956146	5120.074479	4749.670938	20315.30469	20733.23104	16891.67125	292.3260417	346.5160417	381.8176042	392.7692708	565.2066667	338.2728125
196924	725.3191667	641.9898958	1723.006458	9919.41125	10369.49573	10774.98042	1182.685	808.0358854	1067.356875	682.6542708	1057.046458	971.1844792	1089.121458	1018.675	1202.10875	646.2072917	1927.219688	731.4025	918.3355208	381.2041667	1255.380417	2861.442188	3867.379063	3029.142604	928.0760417	689.9251042	998.3832292	1659.841667	1363.405313	1278.813594
105554	609.4064583	705.895	540.7172396	49102.87885	50186.01115	45493.01365	852.1301042	481.0088542	517.8942708	702.8553125	283.3283333	764.0786458	364.8039063	741.6672917	653.5791667	387.8471875	388.415625	246.7394792	464.1166667	623.8396875	643.0155208	57397.79479	61299.5176	61450.62531	196.0729167	406.1058333	300.5867708	791.43625	485.7115625	743.0965625
161752	7948.398333	8058.935625	7614.715521	141958.3546	139255.4309	128324.147	11029.69281	9123.562813	9080.819167	5697.444167	6351.657083	6550.133229	25468.51479	27746.04927	26357.04458	42284.11146	42264.54406	45409.35969	14431.08406	13651.69823	16933.87281	46006.03823	47628.96896	53038.24354	14236.98156	13922.45458	18074.93344	21375.43271	21469.48375	20137.65667
102610	3771.638229	4359.726042	4611.447396	5001.974792	4688.444896	4607.027396	5048.071667	2902.993125	2803.591146	5609.678854	5956.255833	4924.378125	9750.197708	9435.562083	8946.991771	1816.691667	4155.907813	2753.580938	6479.711042	5948.274063	6270.747188	6541.431979	6550.133229	7153.136979	8739.024375	8100.791771	9016.059271	1842.672604	2904.581979	2684.812083
